Date,Total,Desktop site,Mobile site,Zero site
2015-05-01,1862,1699,123,40
2015-05-02,1595,1464,95,36
2015-05-03,1779,1588,164,27
2015-05-04,6180,5565,566,49
2015-05-05,1977,1861,82,34
2015-05-06,1310,1157,106,47
2015-05-07,1873,1676,160,37
2015-05-08,1574,1273,256,45
2015-05-09,1885,1646,203,36
2015-05-10,1938,1744,157,37
2015-05-11,1672,1532,116,24
2015-05-12,1466,1279,166,21
2015-05-13,2457,1920,467,70
2015-05-14,2029,1694,285,50
2015-05-15,2334,2148,149,37
2015-05-16,1609,1447,143,19
2015-05-17,1470,1313,118,39
2015-05-18,1578,1437,120,21
2015-05-19,1687,1497,139,51
2015-05-20,1413,1252,113,48
2015-05-21,3033,2898,111,24
2015-05-22,1502,1321,145,36
2015-05-23,1428,1253,136,39
2015-05-24,1259,1023,163,73
2015-05-25,1620,1429,150,41
2015-05-26,1844,1688,126,30
2015-05-27,1876,1645,202,29
2015-05-28,1609,1429,147,33
2015-05-29,2329,2132,126,71
2015-05-30,1916,1801,98,17
2015-05-31,1483,1375,84,24
2015-06-01,1253,1090,134,29
2015-06-02,1995,1818,129,48
2015-06-03,1424,1259,143,22
2015-06-04,1536,1350,139,47
2015-06-05,1760,1581,110,69
2015-06-06,1391,1221,123,47
2015-06-07,1292,1139,113,40
2015-06-08,1692,1542,123,27
2015-06-09,1982,1830,111,41
2015-06-10,2184,2043,117,24
2015-06-11,3650,3378,218,54
2015-06-12,1641,1477,142,22
2015-06-13,1472,1335,106,31
2015-06-14,1254,1056,162,36
2015-06-15,1399,1261,108,30
2015-06-16,1125,958,139,28
2015-06-17,1020,871,123,26
2015-06-18,1576,1367,183,26
2015-06-19,1058,903,139,16
2015-06-20,797,666,110,21
2015-06-21,1228,1056,153,19
2015-06-22,1317,1181,97,39
2015-06-23,953,860,65,28
2015-06-24,921,777,105,39
2015-06-25,1437,1327,78,32
2015-06-26,1411,1270,101,40
2015-06-27,1567,1386,139,42
2015-06-28,1360,1212,122,26
2015-06-29,1943,1746,151,46
2015-06-30,1318,1188,100,30
2015-07-01,1228,1048,144,36
2015-07-02,1302,1088,144,70
2015-07-03,1113,942,133,38
2015-07-04,1029,877,130,22
2015-07-05,1191,995,150,46
2015-07-06,2439,2159,246,34
2015-07-07,2007,1805,173,29
2015-07-08,1735,1544,137,54
2015-07-09,1151,942,136,73
2015-07-10,1403,1267,103,33
2015-07-11,795,678,88,29
2015-07-12,833,745,57,31
2015-07-13,966,893,67,6
2015-07-14,932,809,87,36
2015-07-15,1314,1207,93,14
2015-07-16,1297,1202,72,23
2015-07-17,795,700,75,20
2015-07-18,632,486,85,61
2015-07-19,1463,573,878,12
2015-07-20,1237,1083,118,36
2015-07-21,1511,1425,65,21
2015-07-22,892,703,149,40
2015-07-23,1152,696,380,76
2015-07-24,871,732,108,31
2015-07-25,736,623,85,28
2015-07-26,896,791,77,28
2015-07-27,1054,922,104,28
2015-07-28,1187,1047,122,18
2015-07-29,2797,2652,101,44
2015-07-30,1675,1441,174,60
2015-07-31,1278,1157,100,21
2015-08-01,1194,1028,115,51
2015-08-02,1224,1098,91,35
2015-08-03,790,624,142,24
2015-08-04,1678,1500,149,29
2015-08-05,1405,1248,113,44
2015-08-06,1072,905,139,28
2015-08-07,1556,1357,160,39
2015-08-08,761,643,74,44
2015-08-09,1373,1171,166,36
2015-08-10,1205,983,162,60
2015-08-11,766,632,118,16
2015-08-12,783,615,116,52
2015-08-13,857,677,151,29
2015-08-14,717,602,101,14
2015-08-15,1155,978,153,24
2015-08-16,769,588,157,24
2015-08-17,1440,1116,288,36
2015-08-18,1372,1149,160,63
2015-08-19,1451,1139,249,63
2015-08-20,4016,3750,223,43
2015-08-21,1393,1188,155,50
2015-08-22,1413,1162,158,93
2015-08-23,1653,1327,269,57
2015-08-24,1655,1219,379,57
2015-08-25,1411,1171,198,42
2015-08-26,1080,945,114,21
2015-08-27,1231,1035,149,47
2015-08-28,1145,937,123,85
2015-08-29,1320,1111,107,102
2015-08-30,782,618,95,69
2015-08-31,861,651,139,71
2015-09-01,856,661,117,78
2015-09-02,879,675,118,86
2015-09-03,984,840,91,53
2015-09-04,1206,1044,127,35
2015-09-05,1249,1023,181,45
2015-09-06,1222,1093,114,15
2015-09-07,908,746,122,40
2015-09-08,840,686,81,73
2015-09-09,956,732,113,111
2015-09-10,3104,2919,121,64
2015-09-11,847,731,66,50
2015-09-12,1170,1002,94,74
2015-09-13,961,821,105,35
2015-09-14,1137,981,99,57
2015-09-15,1617,1426,140,51
2015-09-16,1431,1210,171,50
2015-09-17,1348,1144,135,69
2015-09-18,909,738,99,72
2015-09-19,1540,1350,126,64
2015-09-20,1497,1290,187,20
2015-09-21,873,731,114,28
2015-09-22,1059,851,103,105
2015-09-23,1017,851,126,40
2015-09-24,1488,1213,207,68
2015-09-25,1050,900,91,59
2015-09-26,788,619,109,60
2015-09-27,995,808,135,52
2015-09-28,970,755,124,91
2015-09-29,1608,1414,131,63
2015-09-30,1292,1076,169,47
2015-10-01,1356,1180,141,35
2015-10-02,1117,956,114,47
2015-10-03,900,741,133,26
2015-10-04,760,547,136,77
2015-10-05,703,615,70,18
2015-10-06,1116,949,104,63
2015-10-07,1155,962,133,60
2015-10-08,1264,1089,130,45
2015-10-09,926,776,112,38
2015-10-10,957,783,150,24
2015-10-11,1055,868,117,70
2015-10-12,1600,1469,90,41
2015-10-13,1214,959,227,28
2015-10-14,1209,1032,100,77
2015-10-15,1028,899,98,31
2015-10-16,1097,860,193,44
2015-10-17,1184,1021,133,30
2015-10-18,958,758,104,96
2015-10-19,1236,1067,121,48
2015-10-20,791,636,117,38
2015-10-21,1065,903,89,73
2015-10-22,944,792,100,52
2015-10-23,657,529,87,41
2015-10-24,766,606,92,68
2015-10-25,1111,964,121,26
2015-10-26,895,770,83,42
2015-10-27,1155,956,93,106
2015-10-28,824,667,104,53
2015-10-29,952,808,102,42
2015-10-30,872,727,118,27
2015-10-31,659,557,78,24
2015-11-01,659,564,75,20
2015-11-02,734,652,63,19
2015-11-03,763,608,85,70
2015-11-04,1263,1086,111,66
2015-11-05,773,626,74,73
2015-11-06,572,486,59,27
2015-11-07,713,459,69,185
2015-11-08,801,541,96,164
2015-11-09,769,514,130,125
2015-11-10,1181,774,227,180
2015-11-11,812,580,119,113
2015-11-12,937,769,79,89
2015-11-13,1129,968,80,81
2015-11-14,618,401,77,140
2015-11-15,667,524,73,70
