Date,Total,Desktop site,Mobile site,Zero site
2015-05-01,257,219,38,0
2015-05-02,194,166,28,0
2015-05-03,307,271,36,0
2015-05-04,572,549,23,0
2015-05-05,295,151,144,0
2015-05-06,233,212,21,0
2015-05-07,274,261,13,0
2015-05-08,173,136,37,0
2015-05-09,278,249,29,0
2015-05-10,345,306,39,0
2015-05-11,207,185,22,0
2015-05-12,239,214,25,0
2015-05-13,250,218,32,0
2015-05-14,257,197,60,0
2015-05-15,582,421,161,0
2015-05-16,339,274,65,0
2015-05-17,515,286,229,0
2015-05-18,193,166,27,0
2015-05-19,560,383,177,0
2015-05-20,406,372,34,0
2015-05-21,427,401,26,0
2015-05-22,378,188,190,0
2015-05-23,254,223,31,0
2015-05-24,416,323,93,0
2015-05-25,177,124,53,0
2015-05-26,173,139,34,0
2015-05-27,147,129,18,0
2015-05-28,201,143,58,0
2015-05-29,171,142,29,0
2015-05-30,247,221,26,0
2015-05-31,293,242,51,0
2015-06-01,324,244,80,0
2015-06-02,218,192,26,0
2015-06-03,179,140,39,0
2015-06-04,293,214,79,0
2015-06-05,486,455,31,0
2015-06-06,254,206,48,0
2015-06-07,323,297,26,0
2015-06-08,235,205,30,0
2015-06-09,424,395,29,0
2015-06-10,1160,1095,65,0
2015-06-11,671,619,52,0
2015-06-12,500,331,169,0
2015-06-13,433,368,65,0
2015-06-14,351,309,42,0
2015-06-15,294,274,20,0
2015-06-16,202,189,13,0
2015-06-17,101,98,3,0
2015-06-18,790,578,212,0
2015-06-19,676,515,161,0
2015-06-20,101,90,11,0
2015-06-21,212,199,13,0
2015-06-22,262,76,186,0
2015-06-23,300,183,117,0
2015-06-24,146,76,70,0
2015-06-25,210,204,6,0
2015-06-26,96,93,3,0
2015-06-27,148,119,29,0
2015-06-28,106,98,8,0
2015-06-29,175,162,13,0
2015-06-30,204,145,59,0
2015-07-01,135,125,10,0
2015-07-02,175,153,22,0
2015-07-03,233,209,24,0
2015-07-04,204,182,22,0
2015-07-05,251,240,11,0
2015-07-06,195,174,21,0
2015-07-07,436,333,103,0
2015-07-08,382,364,18,0
2015-07-09,80,76,4,0
2015-07-10,270,263,7,0
2015-07-11,113,101,12,0
2015-07-12,201,196,5,0
2015-07-13,76,67,9,0
2015-07-14,143,134,9,0
2015-07-15,117,106,11,0
2015-07-16,339,135,204,0
2015-07-17,649,104,545,0
2015-07-18,576,373,203,0
2015-07-19,653,129,524,0
2015-07-20,244,210,34,0
2015-07-21,421,271,150,0
2015-07-22,288,234,54,0
2015-07-23,115,98,17,0
2015-07-24,148,123,25,0
2015-07-25,157,140,17,0
2015-07-26,905,857,48,0
2015-07-27,136,129,7,0
2015-07-28,253,236,17,0
2015-07-29,254,220,34,0
2015-07-30,199,169,30,0
2015-07-31,163,162,1,0
2015-08-01,303,256,47,0
2015-08-02,303,295,8,0
2015-08-03,197,190,7,0
2015-08-04,393,263,130,0
2015-08-05,138,131,7,0
2015-08-06,228,220,8,0
2015-08-07,261,253,8,0
2015-08-08,91,82,9,0
2015-08-09,252,245,7,0
2015-08-10,220,213,7,0
2015-08-11,164,151,13,0
2015-08-12,64,59,5,0
2015-08-13,85,79,6,0
2015-08-14,103,95,8,0
2015-08-15,103,98,5,0
2015-08-16,90,83,7,0
2015-08-17,73,69,4,0
2015-08-18,153,148,5,0
2015-08-19,95,88,7,0
2015-08-20,214,200,14,0
2015-08-21,311,309,2,0
2015-08-22,63,54,9,0
2015-08-23,161,151,10,0
2015-08-24,513,454,59,0
2015-08-25,680,664,16,0
2015-08-26,198,132,66,0
2015-08-27,68,56,12,0
2015-08-28,134,129,5,0
2015-08-29,51,44,7,0
2015-08-30,95,88,7,0
2015-08-31,210,148,62,0
2015-09-01,71,61,10,0
2015-09-02,206,187,19,0
2015-09-03,59,46,13,0
2015-09-04,129,123,6,0
2015-09-05,97,88,9,0
2015-09-06,302,293,9,0
2015-09-07,106,99,7,0
2015-09-08,120,114,6,0
2015-09-09,69,61,8,0
2015-09-10,125,123,2,0
2015-09-11,803,772,31,0
2015-09-12,1074,1060,14,0
2015-09-13,1135,1124,11,0
2015-09-14,876,857,19,0
2015-09-15,393,375,18,0
2015-09-16,101,89,12,0
2015-09-17,353,311,42,0
2015-09-18,121,107,14,0
2015-09-19,175,168,7,0
2015-09-20,152,146,6,0
2015-09-21,227,160,67,0
2015-09-22,130,115,15,0
2015-09-23,224,215,9,0
2015-09-24,133,126,7,0
2015-09-25,518,302,216,0
2015-09-26,459,197,262,0
2015-09-27,181,168,13,0
2015-09-28,399,345,54,0
2015-09-29,501,489,12,0
2015-09-30,202,197,5,0
