Date,Total,Desktop site,Mobile site,Zero site
2015-05-01,2994,2795,192,7
2015-05-02,4164,3494,652,18
2015-05-03,2749,2571,159,19
2015-05-04,3773,3577,189,7
2015-05-05,2959,2830,126,3
2015-05-06,4286,4179,95,12
2015-05-07,4728,4574,127,27
2015-05-08,3089,2888,189,12
2015-05-09,4621,4441,161,19
2015-05-10,4677,4536,127,14
2015-05-11,4435,4301,123,11
2015-05-12,4536,4402,104,30
2015-05-13,6344,5792,541,11
2015-05-14,5552,4879,658,15
2015-05-15,4728,4580,139,9
2015-05-16,4868,4569,281,18
2015-05-17,4200,4085,99,16
2015-05-18,3880,3781,88,11
2015-05-19,3863,3718,133,12
2015-05-20,2607,2471,129,7
2015-05-21,5657,5530,122,5
2015-05-22,5170,4959,188,23
2015-05-23,6049,5810,223,16
2015-05-24,3100,2962,126,12
2015-05-25,4240,4073,137,30
2015-05-26,3167,3006,131,30
2015-05-27,2607,2440,151,16
2015-05-28,2961,2726,223,12
2015-05-29,2351,2196,151,4
2015-05-30,3690,3344,337,9
2015-05-31,2284,2092,184,8
2015-06-01,3764,3540,198,26
2015-06-02,4597,4397,190,10
2015-06-03,3343,3205,128,10
2015-06-04,4403,4229,160,14
2015-06-05,4974,4800,162,12
2015-06-06,4055,3875,159,21
2015-06-07,4205,4007,189,9
2015-06-08,4377,4017,341,19
2015-06-09,4257,4076,158,23
2015-06-10,3643,3478,141,24
2015-06-11,3630,3476,144,10
2015-06-12,3908,3780,111,17
2015-06-13,3423,3118,280,25
2015-06-14,3204,3032,150,22
2015-06-15,3142,2971,158,13
2015-06-16,3424,3210,203,11
2015-06-17,2599,2357,228,14
2015-06-18,2440,2183,243,14
2015-06-19,3532,3414,102,16
2015-06-20,2288,2110,152,26
2015-06-21,2416,2255,147,14
2015-06-22,1728,1606,114,8
2015-06-23,1409,1276,119,14
2015-06-24,2063,1867,187,9
2015-06-25,2774,2621,134,19
2015-06-26,3175,2984,183,8
2015-06-27,3039,2744,278,17
2015-06-28,3216,3070,135,11
2015-06-29,4211,4027,167,17
2015-06-30,3142,3020,102,20
2015-07-01,3334,3130,189,15
2015-07-02,4118,3923,179,16
2015-07-03,1938,1777,140,21
2015-07-04,1236,1080,141,15
2015-07-05,2215,1964,237,14
2015-07-06,3912,3567,331,14
2015-07-07,3553,3300,235,18
2015-07-08,2503,2233,243,27
2015-07-09,2235,2077,135,23
2015-07-10,2231,2068,147,16
2015-07-11,1426,1221,187,18
2015-07-12,2025,1816,189,20
2015-07-13,1942,1814,115,13
2015-07-14,1856,1699,154,3
2015-07-15,2399,2206,186,7
2015-07-16,2276,2082,182,12
2015-07-17,1526,1283,218,25
2015-07-18,1701,1557,141,3
2015-07-19,2887,1512,1369,6
2015-07-20,2734,2584,139,11
2015-07-21,2708,2533,165,10
2015-07-22,1987,1802,165,20
2015-07-23,2658,2243,403,12
2015-07-24,1973,1757,211,5
2015-07-25,1859,1674,164,21
2015-07-26,2010,1813,181,16
2015-07-27,2303,2084,209,10
2015-07-28,2348,2144,192,12
2015-07-29,3244,3059,166,19
2015-07-30,2802,2598,196,8
2015-07-31,2334,2144,172,18
2015-08-01,2193,1937,243,13
2015-08-02,2255,2091,156,8
2015-08-03,2480,2355,120,5
2015-08-04,2509,2338,164,7
2015-08-05,2326,2201,106,19
2015-08-06,2032,1868,158,6
2015-08-07,3028,2793,220,15
2015-08-08,1590,1382,198,10
2015-08-09,1978,1741,220,17
2015-08-10,2028,1855,164,9
2015-08-11,1819,1641,153,25
2015-08-12,1550,1415,131,4
2015-08-13,1949,1759,175,15
2015-08-14,1994,1800,182,12
2015-08-15,1912,1752,148,12
2015-08-16,1880,1647,222,11
2015-08-17,2279,2042,218,19
2015-08-18,3076,2746,292,38
2015-08-19,2262,2039,208,15
2015-08-20,2494,2244,219,31
2015-08-21,4301,3930,348,23
2015-08-22,2541,2099,418,24
2015-08-23,2274,1870,393,11
2015-08-24,3323,2763,548,12
2015-08-25,2573,2194,367,12
2015-08-26,2046,1800,233,13
2015-08-27,2625,2307,302,16
2015-08-28,1977,1766,190,21
2015-08-29,1904,1638,239,27
2015-08-30,1901,1654,234,13
2015-08-31,2041,1766,254,21
2015-09-01,1992,1765,214,13
2015-09-02,2594,2278,297,19
2015-09-03,2720,2273,414,33
2015-09-04,3300,2594,654,52
2015-09-05,2908,2277,577,54
2015-09-06,2321,1855,404,62
2015-09-07,2762,2297,430,35
2015-09-08,2791,2403,348,40
2015-09-09,2802,2263,467,72
2015-09-10,2690,2238,429,23
2015-09-11,2610,2063,488,59
2015-09-12,2309,1906,370,33
2015-09-13,2592,2037,518,37
2015-09-14,2434,2019,396,19
2015-09-15,2549,2133,384,32
2015-09-16,2315,1797,474,44
2015-09-17,2243,1898,321,24
2015-09-18,2592,2253,321,18
2015-09-19,2994,2603,371,20
2015-09-20,3167,2721,397,49
2015-09-21,2374,2077,263,34
2015-09-22,2399,2145,228,26
2015-09-23,2151,1971,167,13
2015-09-24,2520,2342,169,9
2015-09-25,2423,2206,196,21
2015-09-26,2181,1923,233,25
2015-09-27,1501,1302,169,30
2015-09-28,2085,1864,192,29
2015-09-29,2727,2576,139,12
2015-09-30,2584,2339,231,14
2015-10-01,2377,1959,398,20
2015-10-02,1897,1696,190,11
2015-10-03,1607,1326,269,12
2015-10-04,1315,1121,184,10
2015-10-05,1358,1127,208,23
2015-10-06,2199,1929,261,9
2015-10-07,2155,1920,218,17
2015-10-08,2408,2158,235,15
2015-10-09,2291,2083,193,15
2015-10-10,1835,1602,214,19
2015-10-11,2314,2130,149,35
2015-10-12,2806,2630,147,29
2015-10-13,2563,2243,297,23
2015-10-14,2518,2263,225,30
2015-10-15,1978,1816,149,13
2015-10-16,2040,1851,161,28
2015-10-17,1617,1382,215,20
2015-10-18,1177,1029,140,8
2015-10-19,1495,1279,192,24
2015-10-20,902,744,132,26
2015-10-21,1172,1039,122,11
2015-10-22,1711,1547,147,17
2015-10-23,1782,1654,105,23
2015-10-24,1609,1438,151,20
2015-10-25,2294,2017,255,22
2015-10-26,2022,1811,198,13
2015-10-27,1829,1669,148,12
2015-10-28,1824,1612,196,16
2015-10-29,1783,1578,170,35
2015-10-30,1650,1470,162,18
2015-10-31,1723,1504,191,28
2015-11-01,1631,1413,193,25
2015-11-02,1799,1633,132,34
2015-11-03,1317,1061,222,34
2015-11-04,1156,981,155,20
2015-11-05,1162,1022,107,33
2015-11-06,1536,814,674,48
2015-11-07,942,774,154,14
2015-11-08,1184,993,164,27
2015-11-09,1138,974,142,22
2015-11-10,1292,1014,252,26
2015-11-11,1407,1068,293,46
2015-11-12,1248,1054,177,17
2015-11-13,1502,1071,408,23
2015-11-14,1146,828,288,30
2015-11-15,1253,1000,224,29
2015-11-16,1728,1363,308,57
2015-11-17,2601,2257,286,58
2015-11-18,2649,2380,232,37
2015-11-19,2420,2153,220,47
2015-11-20,2375,1819,490,66
2015-11-21,1636,1346,256,34
2015-11-22,3085,2741,325,19
2015-11-23,2415,2147,256,12
2015-11-24,2333,2086,230,17
2015-11-25,1923,1669,227,27
2015-11-26,1789,1551,217,21
2015-11-27,1435,1276,139,20
2015-11-28,1363,1125,216,22
2015-11-29,1684,1387,268,29
2015-11-30,1373,1160,184,29
2015-12-01,1742,1540,182,20
2015-12-02,1474,1285,169,20
2015-12-03,1527,1312,197,18
2015-12-04,1206,1040,150,16
2015-12-05,1319,1102,189,28
2015-12-06,1315,1146,150,19
2015-12-07,1243,1057,173,13
2015-12-08,945,815,115,15
2015-12-09,1552,1332,202,18
2015-12-10,1331,1158,157,16
2015-12-11,1540,1309,192,39
2015-12-12,1185,958,207,20
2015-12-13,1037,866,157,14
2015-12-14,892,782,95,15
2015-12-15,2323,2162,143,18
2015-12-16,2715,2491,201,23
2015-12-17,1062,867,172,23
2015-12-18,1163,991,160,12
2015-12-19,826,712,103,11
2015-12-20,1483,1219,243,21
2015-12-21,1127,995,119,13
2015-12-22,1207,1025,169,13
2015-12-23,1256,1049,182,25
2015-12-24,1179,1036,109,34
2015-12-25,1355,1105,235,15
2015-12-26,1267,1013,247,7
2015-12-27,723,564,143,16
2015-12-28,748,612,130,6
2015-12-29,1404,1151,221,32
2015-12-30,835,699,118,18
2015-12-31,3020,2329,678,13
2016-01-01,1706,1409,281,16
2016-01-02,1803,1521,260,22
2016-01-03,2006,1842,142,22
2016-01-04,2876,2592,270,14
2016-01-05,1673,1416,249,8
2016-01-06,1087,934,125,28
2016-01-07,1749,1538,185,26
2016-01-08,1502,1310,174,18
2016-01-09,1068,910,149,9
2016-01-10,1950,1744,196,10
2016-01-11,1521,1345,162,14
2016-01-12,1525,1273,226,26
2016-01-13,1080,855,197,28
2016-01-14,1778,1588,168,22
2016-01-15,1813,1627,172,14
2016-01-16,1363,1165,172,26
2016-01-17,2047,1870,174,3
2016-01-18,1627,1419,201,7
2016-01-19,2003,1861,134,8
2016-01-20,1645,1459,179,7
2016-01-21,1751,1576,163,12
2016-01-22,1861,1680,176,5
2016-01-23,2148,1866,267,15
2016-01-24,1650,1503,138,9
2016-01-25,7573,7388,160,25
2016-01-26,1447,1240,194,13
2016-01-27,1084,945,123,16
2016-01-28,1939,1702,224,13
2016-01-29,1274,1135,103,36
2016-01-30,1451,1237,191,23
2016-01-31,1681,1456,182,43
2016-02-01,1605,1448,146,11
2016-02-02,1238,1081,147,10
2016-02-03,1962,1716,235,11
2016-02-04,1079,947,123,9
2016-02-05,908,757,137,14
2016-02-06,1273,1053,203,17
2016-02-07,1122,975,125,22
2016-02-08,932,794,127,11
2016-02-09,818,667,122,29
2016-02-10,1041,842,163,36
2016-02-11,891,727,140,24
2016-02-12,1428,1228,181,19
2016-02-13,1208,1045,149,14
2016-02-14,1300,1140,149,11
2016-02-15,883,770,110,3
2016-02-16,2825,2646,173,6
2016-02-17,1860,1599,238,23
2016-02-18,1098,930,150,18
2016-02-19,1418,1285,120,13
2016-02-20,863,729,119,15
2016-02-21,1261,1149,98,14
2016-02-22,908,808,89,11
2016-02-23,1309,1148,144,17
2016-02-24,1610,1478,121,11
2016-02-25,887,782,81,24
2016-02-26,857,752,89,16
2016-02-27,1252,1074,166,12
2016-02-28,811,680,121,10
2016-02-29,308,269,34,5
2016-03-01,1054,915,129,10
2016-03-02,2505,2328,169,8
2016-03-03,2839,2676,149,14
2016-03-04,1174,1038,127,9
2016-03-05,1083,940,126,17
2016-03-06,1123,939,169,15
2016-03-07,882,758,109,15
2016-03-08,879,761,108,10
2016-03-09,1076,921,145,10
2016-03-10,1016,848,159,9
2016-03-11,954,819,121,14
2016-03-12,1317,1137,165,15
2016-03-13,925,785,135,5
2016-03-14,950,812,124,14
2016-03-15,1047,911,121,15
2016-03-16,2939,2811,123,5
2016-03-17,2523,2369,147,7
2016-03-18,897,751,140,6
2016-03-19,908,781,123,4
2016-03-20,1093,957,104,32
2016-03-21,1076,954,115,7
2016-03-22,1292,1072,191,29
