Date,Total,Desktop site,Mobile site,Zero site
2015-05-01,895,805,90,0
2015-05-02,1015,937,78,0
2015-05-03,1572,1492,80,0
2015-05-04,1898,1825,73,0
2015-05-05,774,698,76,0
2015-05-06,972,902,70,0
2015-05-07,1658,1584,74,0
2015-05-08,1027,907,120,0
2015-05-09,1961,1873,88,0
2015-05-10,893,815,78,0
2015-05-11,1244,1076,168,0
2015-05-12,900,787,113,0
2015-05-13,1205,1098,107,0
2015-05-14,880,810,70,0
2015-05-15,1625,1137,488,0
2015-05-16,1214,1048,166,0
2015-05-17,868,704,164,0
2015-05-18,830,680,150,0
2015-05-19,883,718,165,0
2015-05-20,856,615,241,0
2015-05-21,922,726,196,0
2015-05-22,1173,976,197,0
2015-05-23,1025,777,248,0
2015-05-24,1173,993,180,0
2015-05-25,1459,1320,139,0
2015-05-26,1048,942,106,0
2015-05-27,907,828,79,0
2015-05-28,789,677,112,0
2015-05-29,742,627,115,0
2015-05-30,532,478,54,0
2015-05-31,813,683,130,0
2015-06-01,928,843,85,0
2015-06-02,715,642,73,0
2015-06-03,742,664,78,0
2015-06-04,784,692,92,0
2015-06-05,1008,916,92,0
2015-06-06,837,663,174,0
2015-06-07,1142,1051,91,0
2015-06-08,860,755,105,0
2015-06-09,922,821,101,0
2015-06-10,1374,1273,101,0
2015-06-11,1307,1104,203,0
2015-06-12,994,890,104,0
2015-06-13,1152,1027,125,0
2015-06-14,781,656,125,0
2015-06-15,1078,940,138,0
2015-06-16,725,626,99,0
2015-06-17,566,513,53,0
2015-06-18,563,528,35,0
2015-06-19,822,785,37,0
2015-06-20,553,517,36,0
2015-06-21,795,739,56,0
2015-06-22,699,662,37,0
2015-06-23,896,819,77,0
2015-06-24,365,308,57,0
2015-06-25,1184,1128,56,0
2015-06-26,535,502,33,0
2015-06-27,835,798,37,0
2015-06-28,595,551,44,0
2015-06-29,712,618,94,0
2015-06-30,719,686,33,0
2015-07-01,874,835,39,0
2015-07-02,961,881,80,0
2015-07-03,642,592,50,0
2015-07-04,675,622,53,0
2015-07-05,549,500,49,0
2015-07-06,597,504,93,0
2015-07-07,563,508,55,0
2015-07-08,656,597,59,0
2015-07-09,670,622,48,0
2015-07-10,502,421,81,0
2015-07-11,390,311,79,0
2015-07-12,334,264,70,0
2015-07-13,533,453,80,0
2015-07-14,484,370,114,0
2015-07-15,531,422,109,0
2015-07-16,480,403,77,0
2015-07-17,2911,386,2525,0
2015-07-18,378,302,76,0
2015-07-19,2377,456,1921,0
2015-07-20,501,436,65,0
2015-07-21,484,453,31,0
2015-07-22,432,406,26,0
2015-07-23,573,548,25,0
2015-07-24,723,658,65,0
2015-07-25,663,605,58,0
2015-07-26,462,403,59,0
2015-07-27,747,664,83,0
2015-07-28,949,836,113,0
2015-07-29,2051,1908,143,0
2015-07-30,684,632,52,0
2015-07-31,581,541,40,0
2015-08-01,666,562,104,0
2015-08-02,696,655,41,0
2015-08-03,641,617,24,0
2015-08-04,8395,7468,927,0
2015-08-05,3025,2946,79,0
2015-08-06,2003,1946,57,0
2015-08-07,1861,1818,43,0
2015-08-08,1042,992,50,0
2015-08-09,567,529,38,0
