Date,Total,Desktop site,Mobile site,Zero site
2015-05-01,1527,1413,109,5
2015-05-02,1314,1202,91,21
2015-05-03,1227,1109,107,11
2015-05-04,7513,7270,243,0
2015-05-05,1264,1131,120,13
2015-05-06,1247,1027,216,4
2015-05-07,1703,1595,89,19
2015-05-08,1167,1086,78,3
2015-05-09,1742,1651,85,6
2015-05-10,1446,1326,100,20
2015-05-11,1337,1197,122,18
2015-05-12,1254,1159,92,3
2015-05-13,1924,1464,453,7
2015-05-14,1264,1180,81,3
2015-05-15,1644,1533,106,5
2015-05-16,1309,1222,77,10
2015-05-17,1174,1104,67,3
2015-05-18,1226,1151,69,6
2015-05-19,2177,2007,163,7
2015-05-20,1444,1164,272,8
2015-05-21,1716,1616,90,10
2015-05-22,1387,1262,114,11
2015-05-23,2931,2772,139,20
2015-05-24,1694,1593,90,11
2015-05-25,1632,1512,111,9
2015-05-26,1397,1301,87,9
2015-05-27,1929,1850,75,4
2015-05-28,1446,1361,75,10
2015-05-29,2008,1911,92,5
2015-05-30,1661,1573,84,4
2015-05-31,1271,1176,80,15
2015-06-01,1006,903,100,3
2015-06-02,1657,1517,127,13
2015-06-03,1381,1021,349,11
2015-06-04,1441,1259,174,8
2015-06-05,1940,1771,166,3
2015-06-06,1821,1634,185,2
2015-06-07,1209,1078,128,3
2015-06-08,1671,1546,110,15
2015-06-09,3361,3218,132,11
2015-06-10,3840,3670,164,6
2015-06-11,3942,3822,117,3
2015-06-12,3598,3503,86,9
2015-06-13,3437,3318,112,7
2015-06-14,5064,4939,123,2
2015-06-15,4487,4257,221,9
2015-06-16,2894,2683,206,5
2015-06-17,4740,4644,94,2
2015-06-18,4823,4695,123,5
2015-06-19,4729,4637,90,2
2015-06-20,3339,3273,64,2
2015-06-21,5065,4991,66,8
2015-06-22,4254,4172,77,5
2015-06-23,3920,3846,69,5
2015-06-24,5483,5370,113,0
2015-06-25,4329,4232,82,15
2015-06-26,3911,3801,95,15
2015-06-27,4484,4415,65,4
2015-06-28,3823,3750,56,17
2015-06-29,4143,4072,64,7
2015-06-30,4797,4740,53,4
2015-07-01,3192,3097,86,9
2015-07-02,2227,2140,84,3
2015-07-03,2786,2718,62,6
2015-07-04,2654,2603,49,2
2015-07-05,1442,1338,97,7
2015-07-06,2750,2495,252,3
2015-07-07,1925,1783,140,2
2015-07-08,1308,1233,70,5
2015-07-09,895,791,103,1
2015-07-10,874,831,39,4
2015-07-11,487,444,39,4
2015-07-12,669,629,38,2
2015-07-13,623,571,44,8
2015-07-14,598,535,58,5
2015-07-15,888,795,91,2
2015-07-16,725,637,86,2
2015-07-17,521,468,45,8
2015-07-18,486,405,74,7
2015-07-19,1001,426,561,14
2015-07-20,733,673,57,3
2015-07-21,688,649,35,4
2015-07-22,768,712,48,8
2015-07-23,1215,1082,128,5
2015-07-24,1167,1050,110,7
2015-07-25,507,463,41,3
2015-07-26,470,432,32,6
2015-07-27,803,743,52,8
2015-07-28,832,745,75,12
2015-07-29,1378,1106,270,2
2015-07-30,1007,880,123,4
2015-07-31,631,537,89,5
2015-08-01,913,798,90,25
2015-08-02,666,589,74,3
2015-08-03,601,558,40,3
2015-08-04,877,802,70,5
2015-08-05,744,681,53,10
2015-08-06,792,704,79,9
2015-08-07,1092,972,118,2
2015-08-08,508,434,58,16
2015-08-09,636,562,71,3
2015-08-10,770,711,55,4
2015-08-11,692,594,80,18
2015-08-12,775,686,88,1
2015-08-13,1515,1417,87,11
2015-08-14,627,579,48,0
2015-08-15,1007,928,77,2
2015-08-16,1353,1274,74,5
2015-08-17,1406,1346,57,3
2015-08-18,8600,8486,109,5
2015-08-19,1080,1012,66,2
2015-08-20,1108,1025,75,8
2015-08-21,938,853,80,5
2015-08-22,901,809,86,6
2015-08-23,1673,1497,165,11
2015-08-24,1295,1068,220,7
2015-08-25,936,858,65,13
2015-08-26,889,796,91,2
2015-08-27,907,788,98,21
2015-08-28,898,855,39,4
2015-08-29,684,594,88,2
2015-08-30,783,739,41,3
2015-08-31,805,732,66,7
2015-09-01,839,783,49,7
2015-09-02,643,580,60,3
2015-09-03,749,690,57,2
2015-09-04,1018,939,76,3
2015-09-05,1364,1261,91,12
2015-09-06,844,787,50,7
2015-09-07,930,862,65,3
2015-09-08,863,786,73,4
2015-09-09,833,718,95,20
2015-09-10,935,808,125,2
2015-09-11,786,707,71,8
2015-09-12,1003,926,69,8
2015-09-13,1044,958,86,0
2015-09-14,1038,945,81,12
2015-09-15,1671,1565,102,4
2015-09-16,986,909,76,1
2015-09-17,798,727,59,12
2015-09-18,888,843,45,0
2015-09-19,1084,1011,70,3
2015-09-20,1356,1269,82,5
2015-09-21,1106,1037,61,8
2015-09-22,952,910,39,3
2015-09-23,629,556,69,4
2015-09-24,910,812,93,5
2015-09-25,1484,1389,89,6
2015-09-26,812,750,49,13
2015-09-27,1793,1640,150,3
2015-09-28,973,926,45,2
2015-09-29,1668,1277,381,10
2015-09-30,1564,1501,60,3
2015-10-01,1555,1402,142,11
2015-10-02,625,576,48,1
2015-10-03,599,515,72,12
2015-10-04,443,389,47,7
2015-10-05,396,338,48,10
2015-10-06,553,494,48,11
2015-10-07,616,518,89,9
2015-10-08,672,580,81,11
2015-10-09,448,410,34,4
2015-10-10,550,468,72,10
2015-10-11,563,475,47,41
2015-10-12,1020,942,48,30
2015-10-13,1279,1086,192,1
2015-10-14,711,660,44,7
2015-10-15,665,591,67,7
2015-10-16,640,574,56,10
2015-10-17,739,646,74,19
2015-10-18,526,451,66,9
