Date,Total,Desktop site,Mobile site,Zero site
2015-05-01,2297,1726,571,0
2015-05-02,2262,1810,452,0
2015-05-03,3074,2509,565,0
2015-05-04,4218,3226,992,0
2015-05-05,4989,3325,1664,0
2015-05-06,4579,3173,1406,0
2015-05-07,5323,3930,1393,0
2015-05-08,2698,2058,640,0
2015-05-09,3058,2658,400,0
2015-05-10,2804,2243,561,0
2015-05-11,4516,3458,1058,0
2015-05-12,4932,3443,1489,0
2015-05-13,5044,3550,1494,0
2015-05-14,4819,3377,1442,0
2015-05-15,3471,2689,782,0
2015-05-16,2312,1830,482,0
2015-05-17,3983,2828,1155,0
2015-05-18,4092,2888,1204,0
2015-05-19,3887,2702,1185,0
2015-05-20,3665,2487,1178,0
2015-05-21,3676,2776,900,0
2015-05-22,2626,1968,658,0
2015-05-23,2501,2139,362,0
2015-05-24,2979,2402,577,0
2015-05-25,3179,2130,1049,0
2015-05-26,3192,2020,1172,0
2015-05-27,2475,1790,685,0
2015-05-28,2128,1670,458,0
2015-05-29,1885,1525,360,0
2015-05-30,1439,1162,277,0
2015-05-31,1951,1632,319,0
2015-06-01,2214,1793,421,0
2015-06-02,2387,1911,476,0
2015-06-03,2551,2096,455,0
2015-06-04,2195,1674,521,0
2015-06-05,2517,2073,444,0
2015-06-06,1987,1588,399,0
2015-06-07,2156,1694,462,0
2015-06-08,2415,1946,469,0
2015-06-09,3050,2589,461,0
2015-06-10,3857,3434,423,0
2015-06-11,3284,2867,417,0
2015-06-12,2830,2440,390,0
2015-06-13,2972,2670,302,0
2015-06-14,2402,1859,543,0
2015-06-15,2315,1909,406,0
2015-06-16,2210,1940,270,0
2015-06-17,2282,1971,311,0
2015-06-18,2285,1980,305,0
2015-06-19,3053,2733,320,0
2015-06-20,1685,1415,270,0
2015-06-21,1765,1479,286,0
2015-06-22,2111,1817,294,0
2015-06-23,1787,1561,226,0
2015-06-24,1579,1329,250,0
2015-06-25,1523,1291,232,0
2015-06-26,1631,1393,238,0
2015-06-27,1380,1188,192,0
2015-06-28,1285,1038,247,0
2015-06-29,1272,1019,253,0
2015-06-30,1543,1109,434,0
2015-07-01,1302,1048,254,0
2015-07-02,1807,1435,372,0
2015-07-03,1462,1017,445,0
2015-07-04,1582,1203,379,0
2015-07-05,1851,1337,514,0
2015-07-06,1931,1523,408,0
2015-07-07,2468,2252,216,0
2015-07-08,2234,1728,506,0
2015-07-09,1867,1540,327,0
2015-07-10,1970,1678,292,0
2015-07-11,1238,830,408,0
2015-07-12,1187,975,212,0
2015-07-13,1773,988,785,0
2015-07-14,1418,1219,199,0
2015-07-15,1675,1064,611,0
2015-07-16,1705,1449,256,0
2015-07-17,1496,992,504,0
2015-07-18,1867,1588,279,0
2015-07-19,1482,742,740,0
2015-07-20,1280,1048,232,0
2015-07-21,1708,1447,261,0
2015-07-22,4120,3451,669,0
2015-07-23,1751,1413,338,0
2015-07-24,1784,1400,384,0
2015-07-25,1387,1051,336,0
2015-07-26,1479,1166,313,0
2015-07-27,1284,884,400,0
2015-07-28,2229,1771,458,0
2015-07-29,1728,1349,379,0
2015-07-30,1679,1422,257,0
2015-07-31,1237,1019,218,0
2015-08-01,1229,929,300,0
2015-08-02,1070,818,252,0
2015-08-03,1905,1603,302,0
2015-08-04,4085,3375,710,0
2015-08-05,3261,2929,332,0
2015-08-06,1965,1635,330,0
2015-08-07,2152,1820,332,0
2015-08-08,1397,1076,321,0
2015-08-09,1457,1203,254,0
2015-08-10,2402,1942,460,0
2015-08-11,2131,1863,268,0
2015-08-12,1630,1418,212,0
2015-08-13,1306,1125,181,0
2015-08-14,1576,1347,229,0
2015-08-15,1759,1512,247,0
2015-08-16,1605,1256,349,0
2015-08-17,1599,1361,238,0
2015-08-18,1482,1265,217,0
2015-08-19,2300,2066,234,0
2015-08-20,1892,1442,450,0
2015-08-21,1791,1579,212,0
2015-08-22,1368,1077,291,0
2015-08-23,1490,1263,227,0
2015-08-24,1949,1559,390,0
2015-08-25,2088,1855,233,0
2015-08-26,1943,1677,266,0
2015-08-27,1672,1415,257,0
2015-08-28,1952,1652,300,0
2015-08-29,1426,1128,298,0
2015-08-30,1662,1307,355,0
2015-08-31,2434,2129,305,0
2015-09-01,3384,2869,515,0
2015-09-02,6081,4300,1781,0
2015-09-03,5152,3501,1651,0
2015-09-04,3403,2557,846,0
2015-09-05,4190,3100,1090,0
2015-09-06,10542,6656,3886,0
2015-09-07,7321,4982,2339,0
2015-09-08,8747,5593,3154,0
2015-09-09,8742,5561,3181,0
2015-09-10,8701,5873,2828,0
2015-09-11,4944,4024,920,0
2015-09-12,6572,5237,1335,0
2015-09-13,7915,5676,2239,0
2015-09-14,7807,5327,2480,0
2015-09-15,6295,4315,1980,0
2015-09-16,4908,3193,1715,0
2015-09-17,5192,3335,1857,0
2015-09-18,2778,2012,766,0
2015-09-19,12638,11967,671,0
2015-09-20,21097,19698,1399,0
